#  d/Mpc   "v"/km/s
93.182 7266.66
102.385 6985.78
102.454 7214.02
76.519 7214.02
92.310 7170.14
95.068 7167.22
101.488 7167.22
106.059 7254.97
101.161 7181.84
97.083 7094.07
95.570 7094.07
108.707 6959.44
98.103 7149.66
97.944 7330.99
100.995 7330.99
95.332 7330.99
106.023 7094.07
102.495 7257.89
99.978 7257.89
92.778 7257.89
95.532 7184.77
89.328 7184.77
89.519 7126.26
101.607 7120.41
106.850 7374.85
107.669 7556.03
90.518 7345.61
90.991 7345.61
101.262 7146.74
97.984 7345.61
98.810 7398.23
76.064 7234.49
93.673 7401.15
106.919 7401.15
108.347 7401.15
102.846 7310.53
102.874 7310.53
96.809 7538.50
95.087 7383.62
93.446 7383.62
106.309 7640.74
106.823 7465.45
106.156 7325.15
100.399 7377.77
87.532 7669.95
102.976 7512.21
117.341 7474.22
111.568 7646.58
102.457 7646.58
90.348 7646.58
112.460 7745.86
111.164 7684.55
114.142 7684.55
98.492 7631.98
112.324 7678.71
110.306 7702.07
111.347 7702.07
102.837 7958.91
109.378 7818.84
113.022 7810.08
111.216 8055.16
110.198 7789.65
114.120 7853.86
102.560 7853.86
108.148 7853.86
112.531 7818.84
112.057 7868.46
123.897 8046.41
102.555 8034.75
104.500 8034.75
102.494 8034.75
114.254 7915.14
135.923 8189.28
103.403 7996.83
132.727 8157.21
114.944 8125.14
112.557 8355.38
111.069 8203.85
122.771 8367.04
125.642 8367.04
125.741 8367.04
109.985 8259.23
115.415 8375.78
113.837 8375.78
102.113 8212.60
119.029 8078.49
111.315 8078.49
114.840 8078.49
106.478 8282.54
128.175 8361.21
131.830 8215.51
113.852 8722.21
117.451 8448.59
95.000 8294.20
110.446 8358.30
121.140 8483.54
99.765 8407.82
123.234 8495.18
133.900 8404.90
108.546 8422.38
128.258 8553.41
129.433 8553.41
120.808 8492.27
110.262 8829.84
101.490 8527.21
128.582 8556.33
114.739 9004.29
120.232 9013.01
122.706 8567.97
110.301 8998.48
122.387 8669.84
122.895 8824.03
118.719 8666.93
144.385 8748.40
123.355 8794.94
121.343 8794.94
120.914 8794.94
123.242 8931.62
125.312 8864.74
121.129 8841.48
124.216 8780.40
114.559 8757.13
114.074 9146.68
128.477 8870.56
120.284 8800.76
117.602 8879.28
121.700 9129.25
130.680 9254.15
148.368 9068.23
116.966 9068.23
113.329 9068.23
125.924 8896.73
132.042 9169.92
124.420 9169.92
127.100 9242.53
123.837 9129.25
131.827 9312.22
121.817 9268.67
126.599 9268.67
121.168 9268.67
138.213 9558.90
136.367 9558.90
139.151 9558.90
129.261 9076.95
130.597 9169.92
125.340 9625.61
147.579 9216.39
134.017 9094.38
134.345 9094.38
130.708 9094.38
132.972 9094.38
135.384 9669.11
119.710 9460.25
121.455 9318.03
132.236 9364.48
126.333 9442.84
143.718 9474.76
143.817 9474.76
145.396 9390.60
131.678 9390.60
147.233 9408.02
131.488 9573.41
129.851 9573.41
130.241 9573.41
129.475 9932.86
142.352 9837.25
135.279 9474.76
139.994 9474.76
135.703 9585.01
145.965 9585.01
128.564 9770.58
131.520 9570.50
135.360 9570.50
140.906 9834.35
144.169 9706.81
143.302 9706.81
138.612 9756.09
141.747 9857.53
155.029 9776.38
141.685 9796.67
147.108 9758.99
137.115 10112.42
147.721 9880.71
149.019 9880.71
138.525 10497.21
141.228 10404.68
151.616 9932.86
135.550 10254.25
143.469 10048.72
147.247 9877.82
145.015 10286.08
145.710 10523.23
139.910 9929.97
140.078 9929.97
141.923 10300.54
143.711 10150.05
152.435 10361.29
170.484 10430.71
150.280 10294.76
164.430 10294.76
148.351 10494.32
124.553 10312.11
152.354 10575.26
143.415 10436.49
166.545 10604.16
153.263 10531.90
147.945 10722.63
144.937 10722.63
158.153 10959.42
139.840 10687.96
147.996 10687.96
157.933 10644.62
158.640 10754.41
150.459 10572.37
156.296 10731.30
153.415 10676.41
152.429 10676.41
144.094 10566.59
151.351 10898.80
149.375 10711.08
178.272 10748.63
169.092 10748.63
153.188 11063.31
157.333 10806.40
159.312 10716.85
145.495 10979.62
143.360 10979.62
160.940 11146.97
193.866 11066.19
169.160 11579.30
171.910 11025.80
153.517 11276.74
154.479 11268.09
153.464 11380.51
167.125 11175.81
168.177 11544.74
173.693 11740.54
196.400 11438.15
153.548 11795.22
158.221 11795.22
151.856 11680.08
161.433 11913.18
184.017 11881.54
155.208 11829.75
176.109 11921.81
197.193 11818.24
167.424 12556.77
192.349 12439.08
174.043 12393.14
146.110 12473.53
170.940 12125.96
167.434 12125.96
166.810 12513.72
170.238 12476.41
184.034 12694.49
167.710 12542.42
173.564 12542.42
171.087 12875.14
176.867 12634.25
195.282 12912.40
173.633 12892.34
195.453 13216.05
192.186 12803.47
187.275 12984.05
208.201 12995.51
186.937 13193.14
187.750 13175.96
192.168 13175.96
163.122 13153.05
180.676 13327.68
171.032 13550.81
194.222 13507.91
176.057 13304.78
191.331 13682.32
188.121 13673.74
188.715 13736.61
189.333 13736.61
214.500 13942.28
196.331 13693.75
199.569 13856.61
198.926 13953.70
196.002 13987.96
190.219 13979.40
179.653 13979.40
175.963 14236.23
203.085 14156.35
198.919 14666.59
187.526 14318.94
197.546 14410.17
202.662 14669.44
187.624 14478.57
196.225 14558.35
224.119 14609.63
193.688 14455.77
186.791 14529.86
193.986 14794.72
208.563 14817.49
223.507 14601.09
226.108 15010.97
180.551 15173.04
197.410 15084.91
215.466 15036.56
224.612 15275.35
193.425 15275.35
221.863 15266.83
229.282 15525.29
215.151 15377.62
222.376 15442.95
223.654 15891.25
220.585 15837.38
223.064 15993.29
201.971 16117.96
223.982 16072.63
217.945 16435.03
228.064 16483.12
242.056 16511.41
236.738 16406.73
245.328 16545.35
235.558 16771.50
230.228 16771.50
232.698 16624.52
235.181 16989.00
253.841 16989.00
171.785 17262.74
240.309 17671.42
255.142 17815.01
258.620 17815.01
252.394 17637.62
232.477 17775.60
233.367 17775.60
244.936 17848.78
277.665 18489.71
238.189 18627.25
244.786 18568.31
245.319 18812.39
278.337 19143.09
253.846 19280.29
286.076 19478.97
262.174 19501.34
295.325 19576.85
262.351 19808.83
285.266 19995.94
267.499 20001.53
268.651 20464.54
268.982 20330.74
266.687 20330.74
292.529 20380.92
292.710 20567.63
289.201 20442.24
328.238 20422.73
278.327 20458.96
