#  d/Mpc   "v"/km/s
1867.547 117635.86
1840.576 117727.98
1926.811 117794.94
1728.235 118201.04
1809.218 118464.47
1798.797 118469.47
1849.606 118576.03
1889.604 118604.32
1937.696 119130.84
1788.607 119323.02
1780.117 119686.78
1709.353 120079.24
1878.200 120224.07
1552.710 120473.88
2075.824 120496.87
2089.472 120516.57
1625.876 120695.38
1836.382 120778.96
1766.932 120942.71
1748.804 121034.32
1896.274 121196.13
1804.476 121271.26
1902.818 121867.51
1853.738 122103.02
2079.913 122208.47
2106.780 122832.98
1639.983 123303.53
1753.428 123390.37
1882.337 123591.19
1923.718 123623.29
1957.104 123650.57
1768.888 123990.32
2025.839 124182.26
1679.267 124196.65
1973.705 124812.15
2258.622 124971.15
1848.092 124971.15
1841.328 125445.45
2120.625 125586.31
1958.970 125606.87
1924.019 125867.58
2010.481 125850.21
1927.779 125851.79
2009.162 125921.24
1788.810 126563.48
1741.257 127583.43
2093.103 127658.21
1995.993 127698.70
1938.812 127779.64
2143.164 127904.07
1928.827 128040.80
1959.159 128031.48
1936.987 128112.22
2032.366 128126.19
1905.091 128242.54
2069.084 128399.06
2199.694 128419.19
2035.615 128760.97
2290.458 128813.48
1975.210 128886.02
2138.422 128886.02
1924.306 128896.82
2193.640 129194.27
2109.436 129429.59
1992.370 129652.22
2002.841 129889.78
1942.051 130128.45
2079.875 131460.53
2221.855 131595.10
2213.367 131863.83
2076.636 132304.95
2049.858 132614.18
1901.682 132695.12
2075.376 132684.63
2141.555 132855.35
2121.883 132970.53
2364.923 133061.70
2152.351 133130.41
2154.451 133726.32
2158.322 134168.46
2135.996 134276.54
2196.126 134344.59
2138.337 134455.47
2031.708 134640.06
2092.306 135133.42
2020.929 135427.04
2090.563 135936.30
1776.352 136108.52
2275.509 136158.09
2023.994 136404.22
1957.596 136954.43
2282.762 136977.61
2077.328 137029.74
2195.792 137091.97
2204.579 137193.21
2260.338 137559.89
1805.216 137725.54
2208.174 137810.45
2212.463 137809.01
2223.004 138383.08
2459.584 138501.87
2135.880 138526.19
2181.277 138670.55
2372.524 140433.35
2252.383 140793.25
2458.411 141635.34
2632.167 142609.90
2196.377 143200.18
2558.988 143433.82
2380.544 143642.34
2163.691 144121.07
2202.801 144216.58
2405.222 144216.58
2263.634 144391.03
2262.257 144732.37
2312.689 145274.28
2309.093 145409.37
2279.322 145544.30
2418.721 145544.30
2465.257 145567.22
2468.873 145653.48
2253.137 145743.71
2446.907 145812.34
2229.914 145922.61
2386.193 145923.96
2314.469 147746.87
2185.685 148145.72
2496.477 148270.89
2283.297 148273.53
2492.750 148338.04
2363.102 148409.09
2393.374 149195.55
2312.806 149326.10
2308.357 149448.68
2216.378 149645.30
2497.612 149841.59
2280.059 150099.75
2540.685 150148.98
2578.921 150279.72
2492.788 150358.61
2477.110 150410.31
2283.916 150495.56
2852.377 151182.95
2372.902 151268.90
2463.431 151649.09
2260.807 151709.14
2213.632 152087.83
2469.282 152115.83
2172.867 152288.76
2535.737 153345.84
2331.616 153553.28
2452.228 153602.25
2400.464 153666.26
2514.709 154168.24
2737.422 154293.06
2662.577 154303.04
2913.978 154351.68
2576.027 154542.27
2486.286 154633.09
2646.255 155098.44
2278.497 155867.12
2561.285 156937.50
2655.324 157057.93
2439.042 157087.11
2118.743 157967.08
2702.902 158210.29
2554.147 163044.74
2374.028 163044.74
2851.524 164752.65
2628.853 173489.75
3363.722 177368.82
3310.048 181053.20
3546.759 181754.45
3080.311 181849.21
3983.389 182503.07
3742.913 184378.52
3644.098 190737.46
3276.431 199575.20
4281.043 199848.38
4085.624 204407.57
3816.057 204755.55
4375.806 204894.24
3918.715 205376.74
4052.378 206468.27
3814.447 207263.25
3455.609 207955.53
3887.642 208269.64
3804.588 210524.54
3224.240 212115.31
4099.229 219490.13
4489.780 219821.72
4115.570 223296.96
4230.345 227325.58
4466.526 232013.78
4173.768 236527.85
5286.512 248264.36
