# distance_Mpc  velocity_CMBcorr_km_s
0.060000  90.501
0.049000  326.491
0.521000  -262.522
0.869000  -458.824
0.768000  -498.313
0.784000  -580.965
6.644000  361.510
5.132000  529.687
7.225000  695.707
3.875000  425.026
2.979000  548.857
3.675000  43.223
9.620000  1069.414
5.419000  698.459
6.510000  791.796
10.582000  914.688
7.771000  703.772
13.427000  491.346
7.271000  666.457
9.496000  1242.993
15.218000  1045.955
16.060000  1317.453
16.757000  1611.841
16.702000  1432.186
